Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,3.0,104.0,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,10.0,100.4,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,14.0,102.4,depression,loss of appetite,painless lumps,lumpy virus
goat,6.0,101.2,chills,chest discomfort,sweats,anthrax
goat,6.0,102.4,loss of appetite,painless lumps,depression,lumpy virus
cow,13.0,102.5,difficulty walking,swelling in muscle,crackling sound,blackleg
goat,7.0,102.4,swelling in limb,loss of appetite,crackling sound,blackleg
cow,10.0,100.9,shortness of breath,swelling in abdomen,chest discomfort,anthrax
buffalo,7.0,103.0,depression,painless lumps,loss of appetite,pneumonia
goat,4.0,103.8,blisters on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,2.0,101.6,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,10.0,100.6,painless lumps,loss of appetite,depression,pneumonia
buffalo,5.0,102.1,painless lumps,depression,loss of appetite,lumpy virus
goat,7.0,104.2,depression,loss of appetite,painless lumps,lumpy virus
goat,3.0,101.0,depression,loss of appetite,painless lumps,pneumonia
cow,14.0,101.3,chest discomfort,sweats,shortness of breath,anthrax
buffalo,7.0,102.1,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,11.0,102.3,depression,painless lumps,loss of appetite,pneumonia
cow,5.0,101.3,shortness of breath,sweats,chest discomfort,anthrax
buffalo,10.0,104.5,depression,loss of appetite,painless lumps,pneumonia
cow,6.0,101.1,depression,crackling sound,loss of appetite,blackleg
sheep,2.0,100.9,sweats,shortness of breath,swelling in extremities,anthrax
goat,8.0,102.0,depression,painless lumps,loss of appetite,pneumonia
sheep,9.0,101.3,chest discomfort,fatigue,shortness of breath,anthrax
sheep,3.0,100.0,depression,loss of appetite,painless lumps,pneumonia
sheep,9.0,102.0,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,9.0,102.4,depression,painless lumps,loss of appetite,pneumonia
sheep,3.0,103.3,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,2.0,100.6,painless lumps,loss of appetite,depression,lumpy virus
goat,4.0,104.8,sweats,shortness of breath,chest discomfort,anthrax
goat,3.0,101.3,depression,painless lumps,loss of appetite,lumpy virus
cow,8.0,104.5,loss of appetite,lameness,blisters on hooves,foot and mouth
buffalo,9.0,101.9,swelling in extremities,fatigue,sweats,anthrax
goat,6.0,100.4,shortness of breath,chest discomfort,fatigue,anthrax
cow,15.0,102.1,depression,painless lumps,loss of appetite,pneumonia
sheep,10.0,102.1,swelling in abdomen,sweats,fatigue,anthrax
buffalo,1.0,101.1,swelling in muscle,loss of appetite,lameness,blackleg
sheep,1.0,100.7,depression,painless lumps,loss of appetite,pneumonia
buffalo,9.0,102.3,painless lumps,loss of appetite,depression,pneumonia
goat,6.0,102.8,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,8.0,101.6,fatigue,shortness of breath,sweats,anthrax
goat,1.0,103.8,depression,loss of appetite,painless lumps,pneumonia
buffalo,9.0,100.9,fatigue,chills,swelling in neck,anthrax
goat,5.0,100.2,shortness of breath,sweats,chest discomfort,anthrax
buffalo,4.0,104.0,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,6.0,101.3,painless lumps,depression,loss of appetite,pneumonia
cow,7.0,100.2,crackling sound,lameness,loss of appetite,blackleg
goat,6.0,100.1,loss of appetite,painless lumps,depression,lumpy virus
cow,5.0,101.1,painless lumps,depression,loss of appetite,lumpy virus
goat,7.0,103.5,difficulty walking,loss of appetite,crackling sound,blackleg
buffalo,5.0,103.2,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4.0,104.7,swelling in muscle,difficulty walking,crackling sound,blackleg
goat,1.0,100.3,loss of appetite,depression,painless lumps,pneumonia
cow,11.0,101.4,depression,loss of appetite,crackling sound,blackleg
buffalo,3.0,101.9,depression,painless lumps,loss of appetite,lumpy virus
buffalo,4.0,100.7,loss of appetite,depression,painless lumps,pneumonia
goat,4.0,102.7,depression,painless lumps,loss of appetite,lumpy virus
buffalo,4.0,104.6,loss of appetite,painless lumps,depression,pneumonia
cow,14.0,101.1,depression,swelling in muscle,difficulty walking,blackleg
cow,5.0,102.8,depression,painless lumps,loss of appetite,lumpy virus
sheep,1.0,100.7,blisters on hooves,loss of appetite,lameness,foot and mouth
buffalo,7.0,102.2,chest discomfort,shortness of breath,fatigue,anthrax
cow,10.0,101.9,chest discomfort,swelling in abdomen,shortness of breath,anthrax
buffalo,6.0,104.1,depression,painless lumps,loss of appetite,lumpy virus
cow,14.0,102.8,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
buffalo,6.0,102.0,depression,loss of appetite,swelling in muscle,blackleg
cow,9.0,103.6,loss of appetite,painless lumps,depression,lumpy virus
sheep,6.0,102.3,lameness,depression,loss of appetite,blackleg
goat,10.0,101.3,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,2.0,102.3,painless lumps,loss of appetite,depression,pneumonia
goat,10.0,102.7,depression,painless lumps,loss of appetite,pneumonia
goat,3.0,100.6,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,11.0,102.0,fatigue,sweats,shortness of breath,anthrax
buffalo,4.0,103.5,depression,loss of appetite,painless lumps,lumpy virus
cow,2.0,102.5,loss of appetite,blisters on hooves,lameness,foot and mouth
goat,3.0,103.0,chest discomfort,shortness of breath,chills,anthrax
goat,8.0,101.6,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14.0,102.4,swelling in limb,lameness,loss of appetite,blackleg
buffalo,7.0,104.4,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,7.0,103.6,depression,painless lumps,loss of appetite,lumpy virus
sheep,6.0,101.5,loss of appetite,depression,painless lumps,lumpy virus
goat,4.0,101.6,sores on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,1.0,103.0,depression,difficulty walking,loss of appetite,blackleg
goat,1.0,104.1,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,3.0,100.8,swelling in limb,loss of appetite,lameness,blackleg
buffalo,1.0,102.4,loss of appetite,painless lumps,depression,pneumonia
buffalo,15.0,101.3,loss of appetite,painless lumps,depression,pneumonia
cow,15.0,101.6,depression,painless lumps,loss of appetite,pneumonia
sheep,4.0,101.8,crackling sound,swelling in muscle,loss of appetite,blackleg
buffalo,15.0,104.4,loss of appetite,depression,painless lumps,pneumonia
sheep,10.0,104.4,fatigue,chest discomfort,sweats,anthrax
goat,10.0,102.6,sores on mouth,loss of appetite,lameness,foot and mouth
goat,2.0,101.7,chills,chest discomfort,fatigue,anthrax
sheep,9.0,102.7,depression,loss of appetite,crackling sound,blackleg
goat,2.0,100.3,chest discomfort,shortness of breath,chills,anthrax
cow,6.0,102.8,depression,loss of appetite,painless lumps,pneumonia
cow,14.0,100.0,lameness,loss of appetite,depression,blackleg
sheep,8.0,103.0,painless lumps,loss of appetite,depression,lumpy virus
cow,5.0,102.7,loss of appetite,lameness,sores on hooves,foot and mouth
sheep,10.0,103.5,painless lumps,depression,loss of appetite,pneumonia
sheep,1.0,103.7,depression,loss of appetite,painless lumps,pneumonia
goat,3.0,102.5,loss of appetite,depression,painless lumps,lumpy virus
goat,8.0,103.3,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,12.0,102.2,sweats,chest discomfort,shortness of breath,anthrax
cow,1.0,103.4,shortness of breath,sweats,chills,anthrax
sheep,7.0,101.3,loss of appetite,painless lumps,depression,pneumonia
cow,12.0,100.7,crackling sound,loss of appetite,depression,blackleg
goat,4.0,102.5,shortness of breath,sweats,swelling in neck,anthrax
cow,11.0,102.1,loss of appetite,depression,painless lumps,lumpy virus
goat,2.0,102.8,swelling in muscle,loss of appetite,difficulty walking,blackleg
cow,7.0,102.5,depression,loss of appetite,painless lumps,pneumonia
cow,8.0,103.9,difficulty walking,depression,loss of appetite,blackleg
buffalo,15.0,100.2,loss of appetite,painless lumps,depression,lumpy virus
goat,10.0,100.0,painless lumps,depression,loss of appetite,pneumonia
sheep,3.0,101.2,loss of appetite,painless lumps,depression,lumpy virus
goat,10.0,101.9,painless lumps,loss of appetite,depression,pneumonia
sheep,3.0,102.5,difficulty walking,sores on tongue,loss of appetite,foot and mouth
cow,14.0,103.1,painless lumps,loss of appetite,depression,lumpy virus
goat,10.0,100.9,loss of appetite,depression,crackling sound,blackleg
buffalo,2.0,100.3,loss of appetite,depression,painless lumps,pneumonia
sheep,4.0,102.5,depression,loss of appetite,painless lumps,pneumonia
goat,10.0,102.1,depression,loss of appetite,swelling in muscle,blackleg
cow,14.0,100.5,loss of appetite,painless lumps,depression,lumpy virus
sheep,7.0,103.2,sores on tongue,difficulty walking,loss of appetite,foot and mouth
cow,12.0,101.8,depression,painless lumps,loss of appetite,lumpy virus
goat,10.0,100.3,loss of appetite,depression,painless lumps,pneumonia
cow,10.0,102.8,depression,painless lumps,loss of appetite,lumpy virus
goat,8.0,104.3,loss of appetite,depression,swelling in muscle,blackleg
sheep,2.0,100.2,shortness of breath,sweats,chills,anthrax
sheep,9.0,102.9,depression,painless lumps,loss of appetite,lumpy virus
cow,14.0,100.2,lameness,loss of appetite,blisters on mouth,foot and mouth
cow,13.0,104.9,swelling in extremities,fatigue,sweats,anthrax
buffalo,8.0,101.6,loss of appetite,painless lumps,depression,lumpy virus
buffalo,12.0,101.4,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,1.0,100.9,crackling sound,depression,difficulty walking,blackleg
buffalo,15.0,104.6,depression,painless lumps,loss of appetite,pneumonia
sheep,4.0,103.0,chest discomfort,chills,shortness of breath,anthrax
buffalo,13.0,101.4,painless lumps,depression,loss of appetite,pneumonia
buffalo,14.0,104.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14.0,104.7,difficulty walking,loss of appetite,sores on tongue,foot and mouth
buffalo,10.0,100.1,lameness,loss of appetite,sores on hooves,foot and mouth
buffalo,13.0,102.1,chest discomfort,sweats,fatigue,anthrax
buffalo,15.0,101.1,painless lumps,depression,loss of appetite,lumpy virus
sheep,3.0,102.8,sores on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,4.0,101.3,shortness of breath,sweats,fatigue,anthrax
buffalo,12.0,103.6,depression,loss of appetite,painless lumps,lumpy virus
goat,8.0,103.5,shortness of breath,chills,chest discomfort,anthrax
buffalo,5.0,101.1,loss of appetite,difficulty walking,depression,blackleg
cow,13.0,101.4,depression,painless lumps,loss of appetite,pneumonia
goat,8.0,100.9,depression,painless lumps,loss of appetite,pneumonia
cow,9.0,103.7,chest discomfort,swelling in neck,shortness of breath,anthrax
sheep,9.0,100.1,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,5.0,102.7,difficulty walking,loss of appetite,depression,blackleg
sheep,1.0,100.8,depression,painless lumps,loss of appetite,pneumonia
goat,3.0,103.2,chills,shortness of breath,fatigue,anthrax
buffalo,15.0,100.3,loss of appetite,crackling sound,swelling in muscle,blackleg
sheep,7.0,100.3,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,7.0,102.8,loss of appetite,painless lumps,depression,lumpy virus
sheep,3.0,101.1,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,2.0,101.7,depression,crackling sound,lameness,blackleg
cow,4.0,103.9,depression,painless lumps,loss of appetite,pneumonia
sheep,4.0,102.8,depression,painless lumps,loss of appetite,lumpy virus
sheep,4.0,102.9,swelling in limb,crackling sound,depression,blackleg
sheep,10.0,103.6,sweats,chills,fatigue,anthrax
sheep,9.0,102.1,painless lumps,depression,loss of appetite,pneumonia
goat,6.0,101.6,chills,sweats,swelling in neck,anthrax
cow,14.0,101.5,lameness,blisters on hooves,loss of appetite,foot and mouth
buffalo,6.0,102.1,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,1.0,103.6,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,12.0,100.0,swelling in neck,chest discomfort,fatigue,anthrax
buffalo,9.0,104.7,chest discomfort,sweats,shortness of breath,anthrax
goat,7.0,102.1,fatigue,sweats,swelling in neck,anthrax
goat,8.0,100.9,loss of appetite,lameness,sores on gums,foot and mouth
cow,8.0,103.2,painless lumps,depression,loss of appetite,lumpy virus
cow,6.0,100.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,6.0,102.1,depression,painless lumps,loss of appetite,lumpy virus
cow,4.0,100.7,depression,loss of appetite,painless lumps,pneumonia
sheep,7.0,102.0,depression,loss of appetite,painless lumps,pneumonia
goat,9.0,100.8,difficulty walking,sores on hooves,loss of appetite,foot and mouth
goat,7.0,103.0,painless lumps,depression,loss of appetite,lumpy virus
buffalo,15.0,101.6,painless lumps,depression,loss of appetite,pneumonia
sheep,1.0,100.6,depression,loss of appetite,painless lumps,lumpy virus
goat,6.0,103.7,loss of appetite,depression,painless lumps,lumpy virus
buffalo,4.0,101.8,chills,sweats,shortness of breath,anthrax
sheep,1.0,102.0,depression,loss of appetite,painless lumps,pneumonia
sheep,7.0,101.7,blisters on tongue,lameness,loss of appetite,foot and mouth
buffalo,15.0,100.5,depression,loss of appetite,painless lumps,pneumonia
sheep,8.0,100.0,painless lumps,depression,loss of appetite,lumpy virus
cow,13.0,101.3,loss of appetite,crackling sound,depression,blackleg
cow,10.0,100.2,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,101.2,swelling in limb,depression,crackling sound,blackleg
buffalo,1.0,103.9,fatigue,chills,shortness of breath,anthrax
sheep,1.0,100.3,sweats,swelling in neck,chest discomfort,anthrax
buffalo,14.0,101.7,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,10.0,102.4,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,8.0,104.5,depression,loss of appetite,painless lumps,lumpy virus
goat,5.0,101.7,loss of appetite,depression,painless lumps,pneumonia
buffalo,4.0,103.0,painless lumps,depression,loss of appetite,pneumonia
buffalo,6.0,102.3,loss of appetite,difficulty walking,sores on gums,foot and mouth
sheep,8.0,101.0,depression,loss of appetite,painless lumps,lumpy virus
sheep,3.0,102.6,difficulty walking,loss of appetite,sores on gums,foot and mouth
sheep,1.0,101.7,chest discomfort,fatigue,shortness of breath,anthrax
goat,1.0,100.5,loss of appetite,painless lumps,depression,pneumonia
goat,2.0,101.7,chest discomfort,sweats,chills,anthrax
sheep,8.0,102.3,depression,loss of appetite,crackling sound,blackleg
cow,8.0,102.2,painless lumps,loss of appetite,depression,pneumonia
cow,9.0,102.2,sores on gums,loss of appetite,lameness,foot and mouth
sheep,4.0,103.9,sweats,chest discomfort,fatigue,anthrax
goat,3.0,102.1,loss of appetite,painless lumps,depression,lumpy virus
cow,12.0,103.8,crackling sound,depression,loss of appetite,blackleg
goat,3.0,101.5,crackling sound,loss of appetite,depression,blackleg
buffalo,3.0,100.4,sores on tongue,loss of appetite,lameness,foot and mouth
sheep,6.0,104.1,depression,loss of appetite,painless lumps,pneumonia
buffalo,15.0,102.1,swelling in extremities,chest discomfort,fatigue,anthrax
sheep,9.0,102.2,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,2.0,102.7,fatigue,shortness of breath,swelling in abdomen,anthrax
buffalo,12.0,101.8,painless lumps,loss of appetite,depression,pneumonia
goat,10.0,102.6,swelling in extremities,shortness of breath,sweats,anthrax
cow,4.0,101.2,painless lumps,loss of appetite,depression,lumpy virus
cow,1.0,101.7,blisters on hooves,lameness,loss of appetite,foot and mouth
cow,13.0,101.5,painless lumps,depression,loss of appetite,pneumonia
sheep,7.0,102.2,depression,loss of appetite,painless lumps,pneumonia
goat,3.0,102.7,loss of appetite,painless lumps,depression,lumpy virus
goat,9.0,101.9,depression,painless lumps,loss of appetite,lumpy virus
goat,1.0,104.0,sweats,chest discomfort,chills,anthrax
sheep,3.0,102.5,loss of appetite,depression,painless lumps,pneumonia
cow,15.0,103.6,lameness,depression,crackling sound,blackleg
cow,6.0,101.1,sweats,chills,shortness of breath,anthrax
cow,5.0,100.9,sweats,chest discomfort,chills,anthrax
sheep,6.0,102.4,fatigue,chills,shortness of breath,anthrax
sheep,8.0,101.9,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,10.0,102.9,loss of appetite,sores on gums,lameness,foot and mouth
goat,3.0,100.1,painless lumps,loss of appetite,depression,pneumonia
goat,3.0,100.1,swelling in muscle,crackling sound,loss of appetite,blackleg
buffalo,4.0,100.6,loss of appetite,lameness,sores on gums,foot and mouth
buffalo,3.0,102.9,loss of appetite,depression,painless lumps,pneumonia
sheep,6.0,102.0,swelling in limb,crackling sound,difficulty walking,blackleg
cow,14.0,101.9,shortness of breath,fatigue,chills,anthrax
buffalo,7.0,103.3,chills,sweats,fatigue,anthrax
cow,5.0,102.6,chest discomfort,sweats,fatigue,anthrax
buffalo,13.0,104.8,depression,painless lumps,loss of appetite,lumpy virus
